1	3.74
2	3.53
3	3.64
4	2.72
5	3.92
6	3.08
7	2.11
8	3.19
9	2.59
10	3.17
11	3.02
12	3.41
13	4.52
14	3.0
15	3.27
16	3.1
17	2.9
18	3.78
19	3.32
20	3.12
21	3.45
22	2.24
23	3.55
24	2.99
25	3.97
26	2.79
27	3.51
28	3.82
29	3.59
30	3.76
31	3.04
32	4.07
33	4.17
34	2.69
35	3.14
36	3.02
37	3.98
38	2.05
39	2.43
40	2.91
41	1.62
42	2.31
43	2.55
44	3.68
45	2.97
46	3.81
47	3.26
48	3.71
49	3.65
50	3.02
51	3.53
52	3.76
53	1.66
54	2.97
55	3.02
56	3.65
57	3.68
58	3.61
59	2.78
60	2.14
61	2.93
62	3.61
63	3.23
64	2.4
65	2.32
66	2.28
67	2.55
68	4.14
69	3.26
70	2.72
71	3.77
72	3.13
73	3.89
74	3.18
75	2.56
76	4.09
77	2.85
78	2.94
79	3.76
80	2.79
81	3.44
82	3.02
83	3.73
84	3.22
85	4.24
86	1.94
87	2.79
88	3.83
89	2.69
90	3.49
91	3.89
92	3.54
93	2.67
94	3.67
95	2.58
96	3.36
97	3.87
98	3.89
99	2.4
100	2.62
101	3.36
102	2.73
103	3.64
104	3.7
105	3.11
106	4.09
107	3.35
108	3.17
109	2.67
110	3.03
111	3.08
112	2.99
113	3.88
114	3.36
115	3.53
116	3.54
117	3.46
118	3.43
119	2.67
120	2.42
121	3.58
122	2.91
123	2.82
124	2.25
125	3.37
126	3.2
127	2.63
128	3.21
129	2.15
130	2.21
131	2.69
132	3.07
133	3.74
134	2.11
135	4.13
136	2.95
137	2.38
138	3.94
139	2.48
140	2.51
141	2.95
142	2.8
143	3.85
144	3.19
145	3.07
146	2.41
147	2.15
148	3.3
149	2.97
150	2.87
151	1.94
152	3.93
153	2.74
154	2.92
155	3.59
156	3.49
157	3.37
158	2.65
159	3.91
160	3.0
161	3.85
162	2.95
163	2.37
164	2.62
165	3.92
166	3.56
167	4.09
168	3.24
169	3.38
170	3.17
171	3.74
172	3.12
173	3.54
174	3.3
175	4.0
176	3.25
177	2.67
178	3.37
179	2.45
180	3.83
181	2.6
182	3.07
183	2.99
184	3.33
185	3.06
186	3.37
187	3.01
188	2.76
189	3.35
190	2.08
191	3.93
192	3.19
193	2.95
194	3.13
195	3.28
196	3.45
197	3.48
198	3.07
199	3.89
200	2.98
201	3.42
202	3.1
203	3.12
204	2.7
205	3.3
206	3.86
207	2.85
208	3.36
209	4.16
210	3.15
211	3.55
212	2.78
213	3.47
214	2.9
215	4.06
216	3.22
217	2.95
218	3.2
219	2.58
220	3.24
221	3.41
222	2.58
223	4.21
224	3.83
225	2.73
226	2.43
227	3.41
228	2.8
229	3.83
230	3.07
231	2.94
232	3.18
233	3.23
234	2.94
235	3.02
236	2.3
237	3.39
238	3.68
239	3.77
240	3.95
241	4.16
242	3.91
243	3.0
244	3.83
245	2.75
246	3.11
247	3.03
248	3.63
249	3.17
250	3.43
251	3.88
252	3.39
253	4.07
254	2.03
255	3.14
256	3.44
257	3.91
258	2.93
259	3.22
260	3.14
261	3.68
262	3.71
263	3.98
264	2.87
265	3.24
266	3.03
267	3.68
268	3.71
269	3.76
270	4.29
271	3.1
272	2.87
273	3.36
274	2.76
275	3.63
276	2.06
277	3.42
278	2.12
279	3.17
280	3.35
281	3.75
282	3.66
283	3.71
284	2.23
285	3.33
286	2.9
287	3.56
288	3.54
289	2.33
290	3.58
291	2.2
